station,lat,lon,depth,vpvs,hd-angle,no_of_ev_in_hd
SAKN,56.5359,-79.2324,36,2.02,328,35
INUQ,58.4509,-78.1186,38,1.84,58,18
FCC,58.7592,-94.0884,38.5,1.76,178,75
ARVN,61.0976,-94.0701,39,1.76,96,27
MANN,62.289333,-79.591835,32.5,1.84,142,43
YRTN,62.8102,-92.1095,36,1.76,30,14
CTSN,62.851799,-82.484642,33.5,1.82,30,50
JOSN,63.1622,-91.542,34,1.78,36,32
SEDN,63.2502,-91.2081,41,1.64,284,35
NOTN,63.293659,-78.135452,34,1.78,230,45
MCMN,63.3043,-92.2977,33,1.84,120,20
SHWN,63.775139,-85.088692,35,1.78,296,40
CRLN,64.188797,-83.347832,30,1.94,120,43
DORN,64.229942,-76.530502,34.5,1.8,108,83
BLKN,64.3185,-96.0024,33,1.8,198,95
SHMN,64.576668,-84.114517,35,1.76,56,42
NUNN,65.2146,-91.0784,33.5,1.8,320,30
WAGN,65.8792,-89.4445,32.5,1.76,130,15
BULN,66.3971,-93.1252,35,1.72,322,30
QILN,66.6532,-86.3709,34.5,1.78,122,60
STLN,67.3116,-92.9849,36.5,1.74,32,23
KUGN,68.0898,-90.0616,33.5,1.76,198,40
SRLN,68.5513,-83.3238,36.5,1.74,28,57
SMLN,68.5936,-91.9364,38,1.72,224,12
LAIN,69.1086,-83.5361,38.5,1.74,146,24
ILON,69.3712,-81.8243,35.5,1.76,86,67
AP3N,69.4586,-84.4616,37,1.78,128,19
GIFN,69.9945,-81.638,39.5,1.76,358,21
MARN,71.326279,-79.373581,38.5,1.74,278,49
POIN,72.7012,-77.962,26,2.06,90,16
RES,74.6892,-94.8962,46,1.78,62,26
AXF,78.879997,-75.783333,31.5,2.04,328,9
CNF,79.65667,-80.778328,25.5,1.78,318,36
EUNU,80.0532,-86.4158,46,1.7,0,23
IBFB,80.605003,-79.576668,35.5,1.88,94,59
TQF,81.41333,-76.845001,48,1.6,308,16
MCF,82.648331,-75.041672,31,1.94,240,11
