station,lat,lon,depth,vpvs,hd-angle,no_of_ev_in_hd,2-lobed,4-lobed,no_wv_involved
AP3N,69.4586,-84.4616,37.5,1.74,316,18,19.14,-23.41,6
ARVN,61.0976,-94.0701,39,1.76,96,27,NAN,NAN,2
AXF,78.879997,-75.783333,32.5,1.94,,8,NAN,NAN,0
BLKN,64.3185,-96.0024,33,1.8,198,95,-5.61,10.14,29
BULN,66.3971,-93.1252,35,1.72,322,30,11.83,-31.44,6
CNF,79.65667,-80.778328,27,1.76,140,28,41.39,25.89,4
CRLN,64.188797,-83.347832,32.5,1.74,118,39,-13.81,10.32,6
CTSN,62.851799,-82.484642,33.5,1.82,30,50,NAN,NAN,0
DORN,64.229942,-76.530502,34.5,1.8,108,83,-41.73,-4.08,6
EUNU,80.0532,-86.4158,46,1.7,0,23,22.47,11.62,3
FCC,58.7592,-94.0884,38.5,1.76,178,75,22,25.12,19
GIFN,69.9945,-81.638,39.5,1.76,358,21,,,
IBFB,80.605003,-79.576668,37,1.88,96,57,,,
ILON,69.3712,-81.8243,35.5,1.76,86,67,,,
INUQ,58.4509,-78.1186,38,1.84,,18,,,
JOSN,63.1622,-91.542,34,1.78,34,30,,,
KUGN,68.0898,-90.0616,33.5,1.76,280,40,,,
LAIN,69.1086,-83.5361,38.5,1.74,146,24,,,
MANN,62.289333,-79.591835,32.5,1.84,142,43,,,
MARN,71.326279,-79.373581,38.5,1.74,278,49,,,
MCF,82.648331,-75.041672,32,1.94,,9,,,
MCMN,63.3043,-92.2977,33,1.84,120,20,,,
NOTN,63.293659,-78.135452,34,1.78,230,45,,,
NUNN,65.2146,-91.0784,33.5,1.8,320,30,,,
POIN,72.7012,-77.962,32.5,1.78,262,23,,,
QILN,66.6532,-86.3709,34.5,1.78,122,60,,,
RES,74.6892,-94.8962,34.5,2.08,278,20,,,
SAKN,56.5359,-79.2324,37.5,2,150,34,,,
SEDN,63.2502,-91.2081,37.5,1.72,112,33,,,
SHMN,64.576668,-84.114517,35,1.76,56,42,,,
SHWN,63.775139,-85.088692,35,1.78,296,40,,,
SMLN,68.5936,-91.9364,38,1.72,224,12,,,
SRLN,68.5513,-83.3238,36.5,1.74,28,57,,,
STLN,67.3116,-92.9849,36.5,1.74,32,23,,,
TQF,81.41333,-76.845001,43.5,1.64,306,22,,,
WAGN,65.8792,-89.4445,34,1.74,130,21,,,
YRTN,62.8102,-92.1095,36,1.76,30,14,,,
